lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
3,0,5,6,1,5,0,8,3,1,4,1,5,39.063702,41.563301
9,1,6,3,0,0,1,9,3,0,2,1,5,57.594799,40.152
7,0,7,6,1,3,1,10,5,1,5,1,5,50.095497,60.818703
3,0,8,3,1,4,0,9,9,1,7,1,5,48.126301,23.505301
6,0,7,4,1,2,1,9,2,1,4,1,3,24.614399,36.396702
8,0,7,6,1,0,1,10,7,1,7,1,7,19.399,21.529999
3,0,8,3,1,3,0,8,9,0,8,1,9,61.174999,48.130001
6,0,3,4,1,3,0,8,4,0,1,1,2,56.978798,28.73
7,1,9,4,1,4,1,10,4,0,5,0,4,47.8727,24.41
9,1,9,7,1,5,1,6,2,0,7,0,2,23.593599,33.914001
4,0,8,4,1,2,0,9,10,1,8,1,4,48.742302,39.771999
6,0,6,6,1,5,0,7,5,0,4,0,1,53.461498,40.186699
9,0,8,9,0,0,0,9,3,0,8,1,4,42.181702,50.6007
7,0,8,3,1,1,0,9,10,0,6,0,4,53.461498,33.205299
3,1,8,4,0,0,0,9,10,0,7,1,4,50.711502,22.543301
2,0,8,8,1,0,0,2,1,0,2,0,9,40.223301,49.7253
2,0,2,7,0,0,0,10,2,0,3,0,1,38.191299,25.32
2,0,3,8,1,2,0,9,1,0,3,0,7,47.320801,44.777302
9,0,8,8,0,0,0,9,8,0,6,0,8,14.5708,34.743301
5,0,7,7,1,4,0,9,1,0,4,0,7,13.4875,39.771999
6,0,7,5,1,3,0,8,8,0,5,0,5,14.5708,39.4953
8,1,6,6,1,2,1,8,7,1,5,1,3,11.3138,25.751999
7,0,7,6,1,2,1,10,8,0,6,0,9,19.657999,21.529999
9,0,8,8,1,0,1,10,6,0,1,0,1,48.287498,33.5853
1,0,6,6,1,3,0,7,4,1,7,1,5,47.764999,37.323997
10,0,4,3,1,1,1,10,7,0,1,0,4,14.9388,21.633301
5,1,7,5,0,0,0,10,7,0,5,0,8,24.9387,34.743301
8,0,8,10,1,0,0,10,9,0,7,0,3,19.9603,16.052
2,1,8,9,1,0,0,10,2,1,4,1,5,51.876904,23.286701
3,0,8,4,1,3,1,8,5,1,5,1,5,34.716698,28.73
1,1,5,9,0,1,1,10,1,0,4,0,3,13.385201,30.072001
1,0,1,1,0,0,1,10,5,0,2,0,1,50.5,11.3
7,0,7,8,1,3,0,8,5,0,4,0,9,35.489403,44.661999
5,0,7,4,1,3,1,8,2,0,5,0,9,21.4596,48.866699
5,0,8,4,1,4,1,10,2,1,7,1,9,14.5708,49.419998
5,0,8,3,1,3,0,9,10,0,8,0,8,61.174999,44.34
7,0,9,2,0,0,1,10,2,0,7,0,5,21.820801,35.238701
6,0,4,1,1,1,0,10,1,0,1,0,3,4.4250002,32.572002
